#{"env_id": "MountainCar-v0", "t_start": 1517941374.045607}
r,l,t
-200.0,200,408.518942
-200.0,200,410.047351
-200.0,200,411.619722
-200.0,200,413.200466
-200.0,200,414.779306
-200.0,200,416.332018
-200.0,200,417.898149
-200.0,200,419.362638
-200.0,200,420.907847
-200.0,200,422.465663
-200.0,200,424.028454
-200.0,200,425.584696
-200.0,200,427.163361
-200.0,200,428.73892
-200.0,200,430.314695
-200.0,200,431.861265
-200.0,200,433.421107
-200.0,200,434.96936
-200.0,200,436.540169
-200.0,200,438.005435
-200.0,200,439.553487
-200.0,200,441.12987
-200.0,200,442.679974
-200.0,200,444.256342
-200.0,200,445.814448
-200.0,200,447.367452
-200.0,200,448.949888
-200.0,200,450.490505
-200.0,200,452.066227
-200.0,200,453.643385
-200.0,200,455.207986
-200.0,200,456.64995
-200.0,200,458.25576
-200.0,200,459.80759
-200.0,200,461.380734
-200.0,200,462.945626
-200.0,200,464.528794
-200.0,200,466.079775
-200.0,200,467.645337
-200.0,200,469.186843
-200.0,200,470.726463
-200.0,200,472.285576
-200.0,200,473.834244
-200.0,200,475.302192
-200.0,200,476.879068
-200.0,200,478.448745
-200.0,200,480.012155
-200.0,200,481.587031
-200.0,200,483.16661
-200.0,200,484.729529
-200.0,200,486.292446
-200.0,200,487.850075
-200.0,200,489.430159
-200.0,200,491.00618
-200.0,200,492.579766
-200.0,200,494.143681
-200.0,200,495.58462
-200.0,200,497.139186
-200.0,200,498.71843
-200.0,200,500.298326
-200.0,200,501.852845
-200.0,200,503.40939
-200.0,200,504.996087
-200.0,200,506.567988
-200.0,200,508.114491
-200.0,200,509.676932
-200.0,200,511.264433
-200.0,200,512.804939
-200.0,200,514.259514
-200.0,200,515.812979
-200.0,200,517.373128
-200.0,200,518.923536
-200.0,200,520.482282
-200.0,200,522.044861
-200.0,200,523.607317
-200.0,200,525.182007
-200.0,200,526.744196
-200.0,200,528.30268
-200.0,200,529.87204
-200.0,200,531.436926
-200.0,200,532.872874
-200.0,200,534.43518
-200.0,200,536.038243
-200.0,200,537.608819
-200.0,200,539.174868
-200.0,200,540.738772
-200.0,200,542.299242
-200.0,200,543.867311
-200.0,200,545.415387
-200.0,200,546.98514
-200.0,200,548.575902
-200.0,200,550.105106
-200.0,200,551.567167
-200.0,200,553.124408
-200.0,200,554.694127
-200.0,200,556.249243
-200.0,200,557.82354
-200.0,200,559.400583
-200.0,200,560.96701
-200.0,200,562.513669
-200.0,200,564.106289
-200.0,200,565.683401
-200.0,200,567.253871
-200.0,200,568.828815
-200.0,200,570.385978
-200.0,200,571.838233
-200.0,200,573.428207
-200.0,200,574.986464
-200.0,200,576.546397
-200.0,200,578.134368
-200.0,200,579.703448
-200.0,200,581.273439
-200.0,200,582.852107
-200.0,200,584.429935
-200.0,200,586.025544
-200.0,200,587.583291
-200.0,200,589.16805
-200.0,200,590.609174
-200.0,200,592.18591
-200.0,200,593.755433
-200.0,200,595.317606
-200.0,200,596.895766
-200.0,200,598.481478
-200.0,200,600.077363
-200.0,200,601.624399
-200.0,200,603.17354
-200.0,200,604.738253
-200.0,200,606.298609
-200.0,200,607.870728
-200.0,200,609.329906
-200.0,200,610.896495
-200.0,200,612.463347
-200.0,200,614.043032
-200.0,200,615.585269
-200.0,200,617.162741
-200.0,200,618.715012
-200.0,200,620.292619
-200.0,200,621.846755
-200.0,200,623.400099
-200.0,200,624.963897
-200.0,200,626.525662
-200.0,200,627.970719
-200.0,200,629.553548
-200.0,200,631.130901
-200.0,200,632.672504
-200.0,200,634.246504
-200.0,200,635.792268
-200.0,200,637.345243
-200.0,200,638.926322
-200.0,200,640.501317
-200.0,200,642.055198
-200.0,200,643.609609
-200.0,200,645.195206
-200.0,200,646.714
-200.0,200,648.250788
-200.0,200,649.82823
-200.0,200,651.401728
-200.0,200,652.974976
-200.0,200,654.551874
-200.0,200,656.106486
-200.0,200,657.655907
-200.0,200,659.240506
-200.0,200,660.805253
-200.0,200,662.363994
-200.0,200,663.948201
-200.0,200,665.510746
-200.0,200,666.970238
-200.0,200,668.527592
-200.0,200,670.081889
-200.0,200,671.664407
-200.0,200,673.242927
-200.0,200,674.791942
-200.0,200,676.370581
-200.0,200,677.94128
-200.0,200,679.503119
-200.0,200,681.066332
-200.0,200,682.618618
-200.0,200,684.173455
-200.0,200,685.636046
-200.0,200,687.192349
-200.0,200,688.753906
-200.0,200,690.326506
-200.0,200,691.894234
-200.0,200,693.472355
-200.0,200,695.043607
-200.0,200,696.599601
-200.0,200,698.198001
-200.0,200,699.793814
-200.0,200,701.339526
-200.0,200,702.916648
-200.0,200,704.374653
-200.0,200,705.934598
-200.0,200,707.490418
-200.0,200,709.056578
-200.0,200,710.604138
-200.0,200,712.161649
-200.0,200,713.728943
-200.0,200,715.280933
-200.0,200,716.85923
-200.0,200,718.414229
-200.0,200,720.003514
-200.0,200,721.589967
-200.0,200,723.096344
-200.0,200,724.628701
-200.0,200,726.188344
-200.0,200,727.780578
-200.0,200,729.356431
-200.0,200,730.947249
-200.0,200,732.516517
-200.0,200,734.095533
