#{"env_id": "MountainCar-v0", "t_start": 1518011461.949919}
r,l,t
-183.0,183,257.457497
-188.0,188,258.406188
-178.0,178,259.289098
-187.0,187,260.237183
-90.0,90,260.682851
-90.0,90,261.153726
-200.0,200,262.170142
-163.0,163,262.984798
-170.0,170,263.847456
-165.0,165,264.669968
-173.0,173,265.545214
-84.0,84,265.969652
-87.0,87,266.408493
-172.0,172,267.273351
-87.0,87,267.702299
-156.0,156,268.488415
-88.0,88,268.941651
-151.0,151,269.71442
-99.0,99,270.212773
-166.0,166,271.051449
-160.0,160,271.867845
-144.0,144,272.610781
-154.0,154,273.393119
-158.0,158,274.210775
-97.0,97,274.702343
-110.0,110,275.267955
-157.0,157,276.081625
-88.0,88,276.522901
-98.0,98,277.015755
-148.0,148,277.760667
-146.0,146,278.493165
-97.0,97,279.156287
-146.0,146,280.096982
-169.0,169,280.957035
-159.0,159,281.769682
-107.0,107,282.316299
-185.0,185,283.276483
-90.0,90,283.722711
-86.0,86,284.16854
-145.0,145,284.901888
-161.0,161,285.696357
-86.0,86,286.134655
-146.0,146,286.857153
-155.0,155,287.64852
-146.0,146,288.4287
-98.0,98,289.153481
-143.0,143,289.992843
-92.0,92,290.458281
-144.0,144,291.207713
-87.0,87,291.667372
-150.0,150,292.429974
-83.0,83,292.85632
-86.0,86,293.423429
-88.0,88,294.18018
-148.0,148,295.161325
-141.0,141,295.878234
-93.0,93,296.35425
-147.0,147,297.0998
-145.0,145,297.841893
-89.0,89,298.306644
-86.0,86,298.734006
-142.0,142,299.449649
-86.0,86,299.88288
-148.0,148,300.612251
-149.0,149,301.363281
-144.0,144,302.074905
-91.0,91,302.565383
-151.0,151,303.332174
-143.0,143,304.052821
-140.0,140,304.757934
-177.0,177,305.636422
-146.0,146,306.376855
-84.0,84,306.806637
-174.0,174,307.686127
-180.0,180,308.591126
-88.0,88,309.033612
-92.0,92,309.514954
-87.0,87,309.960181
-95.0,95,310.459095
-91.0,91,310.923309
-93.0,93,311.397689
-89.0,89,311.850866
-84.0,84,312.437615
-147.0,147,313.186035
-144.0,144,313.930614
-146.0,146,314.664747
-167.0,167,315.512009
-96.0,96,316.009012
-147.0,147,316.74811
-146.0,146,317.523808
-154.0,154,318.325305
-150.0,150,319.071403
-87.0,87,319.515401
-146.0,146,320.26444
-150.0,150,321.012801
-94.0,94,321.482416
-145.0,145,322.244222
-149.0,149,323.003104
-86.0,86,323.468056
-153.0,153,324.243672
-152.0,152,325.022138
-150.0,150,325.766002
-148.0,148,326.532534
-88.0,88,326.985358
-98.0,98,327.479563
-150.0,150,328.241453
-149.0,149,329.006745
-148.0,148,329.768577
-88.0,88,330.212595
-94.0,94,330.678064
-146.0,146,331.397578
-152.0,152,332.160621
-153.0,153,332.926771
-146.0,146,334.009019
-150.0,150,335.136425
-148.0,148,336.131163
-96.0,96,336.641145
-148.0,148,337.393379
-143.0,143,338.129365
-148.0,148,338.860125
-88.0,88,339.303128
-156.0,156,340.24851
-156.0,156,341.123716
-149.0,149,342.292605
-89.0,89,342.958294
-155.0,155,343.986115
-148.0,148,345.019416
-149.0,149,345.853788
-147.0,147,346.634416
-89.0,89,347.082817
-147.0,147,348.434484
-92.0,92,349.332116
-200.0,200,350.553015
-157.0,157,351.422215
-94.0,94,351.980619
-90.0,90,352.792378
-149.0,149,354.084616
-148.0,148,355.11526
-146.0,146,356.492037
-200.0,200,357.907514
-146.0,146,358.996773
-146.0,146,359.971485
-149.0,149,360.725169
-87.0,87,361.177155
-89.0,89,361.662248
-149.0,149,362.625732
-147.0,147,363.524516
-89.0,89,364.053834
-150.0,150,364.983513
-144.0,144,365.817702
-146.0,146,366.735594
-148.0,148,367.575977
-88.0,88,368.11568
-147.0,147,368.876138
-87.0,87,369.326226
-144.0,144,370.05797
-146.0,146,371.123825
-162.0,162,372.056377
-149.0,149,373.023188
-146.0,146,373.995898
-148.0,148,374.750931
-146.0,146,375.595763
-146.0,146,376.408793
-148.0,148,377.29897
-148.0,148,378.135412
-147.0,147,379.008433
-146.0,146,379.848576
-157.0,157,380.747761
-157.0,157,381.807901
-87.0,87,382.327222
-148.0,148,383.139857
-151.0,151,383.897483
-144.0,144,384.824948
-143.0,143,385.682671
-151.0,151,386.657938
-87.0,87,387.206492
-149.0,149,388.110044
-146.0,146,388.920734
-158.0,158,389.729843
-149.0,149,390.485091
-146.0,146,391.236298
-136.0,136,391.926237
-154.0,154,392.714309
-145.0,145,393.452715
-147.0,147,394.1969
-137.0,137,394.877082
-147.0,147,395.637558
-145.0,145,396.391012
-151.0,151,397.89454
-109.0,109,398.729108
-144.0,144,399.738573
-148.0,148,400.560882
-115.0,115,401.129063
-112.0,112,401.69379
-151.0,151,402.456458
-112.0,112,403.021614
-115.0,115,403.617248
-114.0,114,404.20278
-116.0,116,404.799303
-149.0,149,405.575801
-113.0,113,406.138005
-86.0,86,406.580404
-117.0,117,407.204875
-115.0,115,407.810647
-111.0,111,408.365289
-121.0,121,408.963306
-129.0,129,409.697989
-117.0,117,410.296261
-124.0,124,410.932347
-200.0,200,411.970419
-124.0,124,412.606604
-119.0,119,413.418229
-123.0,123,414.061268
-119.0,119,414.653413
-113.0,113,415.241271
-114.0,114,416.169461
-115.0,115,417.093096
-125.0,125,418.002602
-119.0,119,418.849391
-129.0,129,419.500351
-122.0,122,420.113981
-128.0,128,420.765903
-121.0,121,421.368759
-125.0,125,422.005167
-114.0,114,422.584252
-124.0,124,423.238892
-113.0,113,423.823118
-114.0,114,424.384782
-135.0,135,425.082898
-119.0,119,425.676709
-200.0,200,426.699942
-114.0,114,427.288385
-138.0,138,427.985932
-124.0,124,428.616034
-200.0,200,429.612807
-200.0,200,430.618967
-119.0,119,431.24415
-200.0,200,432.265709
-123.0,123,432.89127
-123.0,123,433.498314
-200.0,200,434.48135
-115.0,115,435.063758
-127.0,127,435.709627
-129.0,129,436.368627
-121.0,121,436.985658
-123.0,123,437.600864
-136.0,136,438.305083
-136.0,136,438.999973
-123.0,123,439.630269
-200.0,200,440.647932
-130.0,130,441.307824
-129.0,129,442.193001
-126.0,126,442.846314
-199.0,199,444.070592
-128.0,128,445.25642
-124.0,124,446.028263
-123.0,123,446.878732
-122.0,122,447.625848
-130.0,130,448.389308
-130.0,130,449.056317
-121.0,121,449.763542
-126.0,126,450.404104
-121.0,121,451.033466
-125.0,125,451.690703
-127.0,127,452.35519
-125.0,125,453.004216
-115.0,115,453.612195
-120.0,120,454.226022
-124.0,124,454.864042
-125.0,125,455.502987
-119.0,119,456.115409
-118.0,118,456.706029
-124.0,124,457.363061
-123.0,123,457.997271
-118.0,118,458.588863
-122.0,122,459.210951
-113.0,113,459.80523
-85.0,85,460.251249
-111.0,111,460.820884
-114.0,114,461.41697
-112.0,112,461.989324
-115.0,115,462.576723
-113.0,113,463.152401
-111.0,111,463.742632
-110.0,110,464.306904
-110.0,110,464.870501
-87.0,87,465.338555
-115.0,115,465.922158
-113.0,113,466.497739
-114.0,114,467.069548
-111.0,111,467.631717
-116.0,116,468.227153
-103.0,103,468.763388
-107.0,107,469.321432
-113.0,113,469.902743
-107.0,107,470.466936
-109.0,109,471.047489
-114.0,114,471.635566
-137.0,137,472.348829
-108.0,108,472.892576
-104.0,104,473.43173
-131.0,131,474.122257
-108.0,108,474.664999
-137.0,137,475.375881
-104.0,104,475.900369
-105.0,105,476.453259
-108.0,108,477.054199
-147.0,147,477.936842
-115.0,115,478.558098
-112.0,112,479.131162
-179.0,179,480.049128
-150.0,150,481.019115
-127.0,127,481.662826
-200.0,200,482.664521
-200.0,200,483.66498
-125.0,125,484.301247
-188.0,188,485.2867
-115.0,115,485.876325
-128.0,128,486.529873
-200.0,200,487.547635
-123.0,123,488.183763
-200.0,200,489.233298
-178.0,178,490.127774
-118.0,118,490.717883
-200.0,200,491.752529
-128.0,128,492.415094
-200.0,200,493.473448
-200.0,200,494.485563
-200.0,200,495.506761
-138.0,138,496.213438
-135.0,135,496.900191
-200.0,200,497.918885
-200.0,200,498.928787
-143.0,143,499.65026
-200.0,200,500.682472
-149.0,149,501.417036
-200.0,200,502.43912
-200.0,200,503.472286
-132.0,132,504.162014
-139.0,139,504.875431
-137.0,137,505.600835
-130.0,130,506.26115
-128.0,128,506.906299
-124.0,124,507.557274
-200.0,200,508.571625
-130.0,130,509.237511
-129.0,129,509.911974
-124.0,124,510.541545
-200.0,200,511.547878
-139.0,139,512.248982
-160.0,160,513.077451
-200.0,200,514.116103
-119.0,119,514.717124
-164.0,164,515.552974
-129.0,129,516.212017
-200.0,200,517.232729
-129.0,129,517.902537
-137.0,137,518.60156
-160.0,160,519.422658
-115.0,115,520.005561
-118.0,118,520.610731
-162.0,162,521.447217
-140.0,140,522.168197
-118.0,118,522.773427
-115.0,115,523.365524
-119.0,119,523.985003
-165.0,165,524.841115
-125.0,125,525.476753
-117.0,117,526.081962
-115.0,115,526.671936
-113.0,113,527.245661
-160.0,160,528.076599
-114.0,114,528.65953
-112.0,112,529.231641
-88.0,88,529.683232
-166.0,166,530.570954
-113.0,113,531.230739
-112.0,112,531.832257
-97.0,97,532.34712
-114.0,114,532.945575
-111.0,111,533.600711
-114.0,114,534.183511
-166.0,166,535.048742
-116.0,116,535.650953
-166.0,166,536.485491
-163.0,163,537.346399
-165.0,165,538.218274
-112.0,112,538.789136
-172.0,172,539.700882
-116.0,116,540.284188
-112.0,112,540.857717
-111.0,111,541.438328
-85.0,85,541.850235
-119.0,119,542.449807
-114.0,114,543.020577
-94.0,94,543.481668
-153.0,153,544.275167
-110.0,110,544.844379
-93.0,93,545.339826
-111.0,111,545.929693
-200.0,200,546.929957
-196.0,196,547.934959
-135.0,135,548.631591
-110.0,110,549.191046
-139.0,139,549.911653
-113.0,113,550.503547
-151.0,151,551.303573
-111.0,111,551.870267
-155.0,155,552.66774
-115.0,115,553.260164
-92.0,92,553.712889
-112.0,112,554.287807
-94.0,94,554.787067
-97.0,97,555.277207
-166.0,166,556.126619
-113.0,113,556.693947
-110.0,110,557.276887
-144.0,144,558.018256
-86.0,86,558.457113
-116.0,116,559.069853
-112.0,112,559.645287
-93.0,93,560.121709
-110.0,110,560.674458
-147.0,147,561.412422
-107.0,107,561.958446
-113.0,113,562.55802
-87.0,87,563.021002
-107.0,107,563.58949
-88.0,88,564.038224
-144.0,144,564.773478
-145.0,145,565.541117
-151.0,151,566.338897
-116.0,116,566.926908
-113.0,113,567.497554
-167.0,167,568.374575
-152.0,152,569.138747
-172.0,172,570.049461
-112.0,112,570.61597
-111.0,111,571.182228
-139.0,139,571.911126
-146.0,146,572.66064
-167.0,167,573.521003
-144.0,144,574.251078
-153.0,153,575.038649
-165.0,165,575.889102
-159.0,159,576.689105
-136.0,136,577.410669
-149.0,149,578.197165
-132.0,132,578.885877
-135.0,135,579.575042
-115.0,115,580.15476
-113.0,113,580.731538
-159.0,159,581.537225
-116.0,116,582.125129
-153.0,153,582.883539
-114.0,114,583.459231
-113.0,113,584.049988
-154.0,154,584.846251
-160.0,160,585.661372
-155.0,155,586.461063
-145.0,145,587.209726
-145.0,145,587.959159
-112.0,112,588.521767
-120.0,120,589.128427
-115.0,115,589.714047
-154.0,154,590.492213
-149.0,149,591.267119
-116.0,116,591.862037
-143.0,143,592.600726
-149.0,149,593.366341
-113.0,113,593.961133
-152.0,152,594.743528
-142.0,142,595.453746
-151.0,151,596.22839
-116.0,116,596.813991
-157.0,157,597.579588
-155.0,155,598.417117
-113.0,113,599.00226
-155.0,155,599.79814
-143.0,143,600.539279
-144.0,144,601.279186
-147.0,147,602.035967
-87.0,87,602.478677
-93.0,93,602.950868
-154.0,154,603.74544
-155.0,155,604.534706
-157.0,157,605.365454
-164.0,164,606.196367
-156.0,156,606.995262
-164.0,164,607.816052
-181.0,181,608.77445
-166.0,166,609.629547
-149.0,149,610.37699
-173.0,173,611.261006
-141.0,141,611.967875
-170.0,170,612.810328
-161.0,161,613.661857
-151.0,151,614.410853
-156.0,156,615.228907
-160.0,160,616.053217
-153.0,153,616.820009
-168.0,168,617.696173
-158.0,158,618.50762
-155.0,155,619.315306
-150.0,150,620.08105
-164.0,164,620.918633
-157.0,157,621.751351
-151.0,151,622.516435
-156.0,156,623.315151
-154.0,154,624.108508
-156.0,156,624.906012
-171.0,171,625.746653
-176.0,176,626.636093
-168.0,168,627.489107
-200.0,200,628.499709
-158.0,158,629.311974
-168.0,168,630.184181
-164.0,164,631.012403
-161.0,161,631.859875
-158.0,158,632.662348
-165.0,165,633.4941
-167.0,167,634.357361
-98.0,98,634.877547
-163.0,163,635.711467
-160.0,160,636.562108
-173.0,173,637.446214
-162.0,162,638.27759
-164.0,164,639.100903
-96.0,96,639.598713
-161.0,161,640.428637
-158.0,158,641.227685
-156.0,156,642.020748
-155.0,155,642.809427
-161.0,161,643.622461
-155.0,155,644.413328
-163.0,163,645.230629
-161.0,161,646.082995
-169.0,169,646.939675
-167.0,167,647.799608
-88.0,88,648.262962
-160.0,160,649.106478
-167.0,167,649.975372
-153.0,153,650.793302
-164.0,164,651.663895
-153.0,153,652.467163
-166.0,166,653.334974
-152.0,152,654.22095
-168.0,168,655.08954
-156.0,156,655.904183
-157.0,157,656.713555
-156.0,156,657.524331
-171.0,171,658.394425
-153.0,153,659.167933
-145.0,145,659.910039
-158.0,158,660.707712
-153.0,153,661.481934
-147.0,147,662.24644
-153.0,153,663.012687
-163.0,163,663.845556
-162.0,162,664.695347
-159.0,159,665.490246
-156.0,156,666.28133
-153.0,153,667.085926
-153.0,153,667.879983
-157.0,157,668.695722
-153.0,153,669.478199
-166.0,166,670.355089
-162.0,162,671.19006
-157.0,157,671.988172
-200.0,200,673.007077
-159.0,159,673.811486
-200.0,200,674.80585
-157.0,157,675.601738
-200.0,200,676.601003
-200.0,200,677.610689
-200.0,200,678.623457
