#{"env_id": "MountainCar-v0", "t_start": 1518014083.279501}
r,l,t
-200.0,200,358.113164
-200.0,200,359.505701
-200.0,200,360.868237
-200.0,200,362.266644
-200.0,200,363.655736
-200.0,200,365.008647
-200.0,200,366.386904
-200.0,200,367.762233
-200.0,200,369.123203
-200.0,200,370.496831
-200.0,200,371.869988
-200.0,200,373.238551
-200.0,200,374.57468
-200.0,200,376.008868
-200.0,200,377.63385
-200.0,200,379.082039
-200.0,200,380.548301
-200.0,200,382.173908
-200.0,200,383.512097
-200.0,200,384.953947
-200.0,200,386.283595
-200.0,200,387.609436
-200.0,200,388.968588
-200.0,200,390.35736
-200.0,200,391.721076
-200.0,200,393.102691
-200.0,200,394.522692
-200.0,200,395.868899
-200.0,200,397.226488
-200.0,200,398.562044
-200.0,200,399.956219
-200.0,200,401.315082
-200.0,200,402.668721
-200.0,200,404.059904
-200.0,200,405.412031
-200.0,200,406.755566
-200.0,200,408.150777
-200.0,200,409.561774
-200.0,200,410.9381
-200.0,200,412.321419
-200.0,200,413.716201
-200.0,200,415.05565
-200.0,200,416.415264
-200.0,200,417.787164
-200.0,200,419.187996
-200.0,200,420.532807
-200.0,200,421.940161
-200.0,200,423.337955
-200.0,200,424.700361
-200.0,200,426.031874
-200.0,200,427.414879
-200.0,200,428.821866
-200.0,200,430.216437
-200.0,200,431.64285
-200.0,200,433.031106
-200.0,200,434.379951
-200.0,200,435.783556
-200.0,200,437.211234
-200.0,200,438.529989
-200.0,200,439.862509
-200.0,200,441.266532
-200.0,200,442.593571
-200.0,200,444.035776
-200.0,200,445.427042
-200.0,200,446.80755
-200.0,200,448.220468
-200.0,200,449.599439
-200.0,200,450.980565
-200.0,200,452.909516
-200.0,200,454.615656
-200.0,200,456.026012
-200.0,200,457.509864
-200.0,200,459.02078
-200.0,200,460.3908
-200.0,200,461.658039
-200.0,200,462.887401
-200.0,200,464.13253
-200.0,200,465.359241
-200.0,200,466.571384
-200.0,200,467.98003
-200.0,200,469.673133
-200.0,200,471.150691
-200.0,200,472.575236
-200.0,200,473.905372
-200.0,200,475.251864
-200.0,200,476.594998
-200.0,200,477.917654
-200.0,200,479.274964
-200.0,200,480.618771
-200.0,200,481.999349
-200.0,200,483.35936
-200.0,200,484.72701
-200.0,200,486.152077
-200.0,200,487.529395
-200.0,200,489.272771
-200.0,200,490.596623
-200.0,200,491.965851
-200.0,200,493.327751
-200.0,200,494.694063
-200.0,200,496.15767
-200.0,200,497.569968
-200.0,200,498.957202
-200.0,200,500.393328
-200.0,200,501.872731
-200.0,200,503.151902
-200.0,200,504.609092
-200.0,200,506.132127
-200.0,200,507.356706
-200.0,200,508.744086
-200.0,200,510.60423
-200.0,200,512.115434
-200.0,200,513.522671
-200.0,200,514.914404
-200.0,200,516.273102
-200.0,200,517.581171
-200.0,200,518.958632
-200.0,200,520.402221
-200.0,200,521.907984
-200.0,200,523.553396
-200.0,200,524.876014
-200.0,200,526.097445
-200.0,200,527.306768
-200.0,200,528.505956
-200.0,200,529.704221
-200.0,200,530.906553
-200.0,200,532.107157
-200.0,200,533.339571
-200.0,200,534.54911
-200.0,200,535.750974
-200.0,200,536.955327
-200.0,200,538.162657
-200.0,200,539.395207
-200.0,200,540.586853
-200.0,200,541.822941
-200.0,200,543.047029
-200.0,200,544.253131
-200.0,200,545.465426
-200.0,200,546.691816
-200.0,200,547.889618
-200.0,200,549.122102
-200.0,200,550.375123
-200.0,200,551.626651
-200.0,200,552.88961
-200.0,200,554.107934
-200.0,200,555.334743
